,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout
0,N,third,13,20,F,,,,,,,,,,1,0,1,Y
1,N,third,71,77,A,40,67,A,69,A,41,A,A,D,13,4,4,N
2,Y,first,32,62,F,76,77,A,35,F,93,F,F,B,16,9,3,N
3,Y,first,8,4,F,46,36,C,93,B,79,A,D,B,22,4,6,N
4,Y,first,6,1,F,23,33,D,90,C,82,C,A,C,19,9,7,N
5,N,third,87,67,A,15,69,F,67,F,,,,,6,0,3,Y
6,Y,second,9,25,F,22,40,C,72,B,32,C,B,A,12,3,7,N
7,Y,second,44,50,A,28,10,D,,,,,,,4,0,0,Y
8,Y,third,60,88,C,50,52,F,,,,,,,6,4,2,Y
9,Y,second,27,39,F,,,,,,,,,,4,0,0,Y
10,Y,first,39,59,A,48,47,D,,,,,,,4,0,1,Y
11,Y,first,37,74,A,91,25,C,47,B,67,A,F,F,13,8,5,N
12,Y,third,33,51,A,93,35,A,48,C,57,B,A,D,11,6,4,N
13,Y,second,97,4,A,10,22,D,1,B,21,F,F,F,0,4,2,Y
14,Y,second,7,56,A,39,51,A,32,F,18,D,F,C,8,6,0,Y
15,N,second,14,1,D,22,31,F,47,C,97,D,B,B,15,8,4,N
16,Y,first,36,53,A,50,62,D,23,F,27,F,D,F,11,2,1,Y
17,N,third,26,10,B,,,,,,,,,,7,1,1,Y
18,Y,first,3,85,A,88,55,F,40,D,68,D,C,F,7,3,1,Y
19,N,second,3,15,D,57,49,D,64,C,43,A,C,A,18,12,4,N
20,N,first,5,24,D,36,51,D,64,C,33,C,B,D,23,7,8,N
21,Y,second,1,60,A,17,31,D,46,D,,,,,4,3,0,Y
22,Y,third,44,58,C,68,41,B,10,F,11,B,A,F,14,22,1,N
23,Y,third,15,24,D,35,62,B,51,D,,,,,1,3,0,Y
24,N,first,9,11,D,31,46,C,78,C,35,C,A,B,3,12,5,N
25,Y,first,2,18,A,4,83,F,19,D,29,D,B,D,12,6,0,Y
26,N,second,21,99,A,73,43,A,56,D,,,,,11,1,1,Y
27,Y,second,18,6,D,43,35,B,94,C,74,C,A,C,23,12,7,N
28,Y,first,92,54,D,68,82,D,,,,,,,2,1,0,Y
29,Y,first,15,39,A,89,83,C,48,F,,,,,9,4,0,Y
30,Y,second,58,46,A,66,11,F,,,,,,,1,0,1,Y
31,Y,first,13,25,D,35,39,C,47,D,47,D,B,B,10,11,8,N
32,Y,first,22,69,F,66,54,C,14,A,67,F,F,B,17,5,5,N
33,N,third,1,6,A,3,39,A,33,A,22,A,F,C,2,2,2,N
34,N,third,6,2,F,4,49,D,33,B,21,B,A,A,3,2,1,N
35,Y,second,57,4,D,70,5,D,64,C,70,F,F,F,12,0,3,Y
36,N,third,86,76,B,82,41,C,65,F,83,F,F,B,16,3,2,N
37,N,third,13,8,F,,,,,,,,,,3,2,1,Y
38,N,third,52,18,A,50,20,C,79,F,,,,,3,2,2,Y
39,N,third,40,62,C,64,9,F,,,,,,,0,3,1,Y
40,N,third,6,7,D,59,34,F,49,A,75,A,A,C,29,17,7,N
41,N,first,65,56,C,11,7,F,10,C,66,C,B,F,16,24,7,N
42,N,third,12,3,F,50,42,D,70,D,68,C,A,C,7,14,5,N
43,N,third,90,44,A,89,4,A,47,A,52,A,B,D,10,9,5,N
44,Y,first,44,79,A,81,0,C,43,F,,,,,0,3,1,Y
45,Y,third,1,87,F,76,46,B,2,D,23,C,B,D,11,4,1,Y
46,Y,third,10,45,F,,,,,,,,,,4,0,0,Y
47,N,second,13,13,F,26,47,F,97,C,84,B,B,C,11,17,8,N
48,N,second,49,66,D,11,97,A,74,C,10,A,A,C,14,15,2,N
49,Y,third,59,47,C,27,16,F,,,,,,,0,2,0,Y
50,Y,first,23,1,F,,,,,,,,,,2,1,1,Y
51,N,second,5,9,F,11,26,D,34,D,21,A,A,C,2,1,2,N
52,Y,first,54,52,D,75,56,B,41,A,90,F,C,A,14,7,3,N
53,Y,first,59,56,D,43,20,F,,,,,,,0,2,0,Y
54,N,first,43,69,F,8,68,D,88,B,53,B,F,D,19,20,1,N
55,N,third,17,6,F,,,,,,,,,,6,0,0,Y
56,Y,third,95,66,F,67,51,B,31,A,44,F,B,A,8,3,2,N
57,Y,third,52,35,A,52,13,F,,,,,,,0,0,0,Y
58,Y,first,17,17,D,41,33,F,51,B,28,C,B,B,24,5,4,N
59,Y,second,41,54,F,62,55,A,45,D,93,C,F,B,7,7,2,N
60,N,third,26,71,F,20,30,A,83,F,,,,,3,1,1,Y
61,N,first,46,82,B,14,56,F,16,C,54,D,F,F,6,20,6,N
62,N,second,2,7,A,11,8,B,40,B,21,C,F,B,0,1,1,N
63,Y,third,44,58,F,88,41,B,57,B,97,D,A,A,15,6,5,N
64,N,third,3,15,A,8,40,C,29,D,24,F,A,A,2,1,2,N
65,N,third,24,37,B,,,,,,,,,,1,2,0,Y
66,N,third,45,79,B,67,55,D,85,A,4,F,F,A,4,9,6,N
67,Y,third,30,59,D,17,30,F,,,,,,,2,1,1,Y
68,Y,third,4,83,F,81,98,D,1,D,28,C,A,F,11,4,3,Y
69,N,third,5,10,F,3,21,A,38,A,28,A,B,A,2,1,2,N
70,Y,second,62,36,A,14,16,A,28,D,,,,,5,1,1,Y
71,Y,first,34,79,A,88,64,C,41,F,55,C,A,A,14,5,5,N
72,Y,second,19,57,F,43,33,C,69,B,60,A,B,A,6,19,3,N
73,Y,second,22,20,F,,,,,,,,,,3,1,1,Y
74,Y,third,4,3,B,13,22,B,45,A,27,C,F,A,0,2,1,N
75,Y,second,27,48,D,80,94,B,61,A,1,B,A,C,5,1,6,N
76,N,third,4,6,A,5,55,B,41,A,25,B,D,B,4,3,2,N
