,External,Year,session 1,session 2,test 1
0,N,third,13,20,F
1,N,third,71,77,A
2,Y,first,32,62,F
3,Y,first,8,4,F
4,Y,first,6,1,F
5,N,third,87,67,A
6,Y,second,9,25,F
7,Y,second,44,50,A
8,Y,third,60,88,C
9,Y,second,27,39,F
10,Y,first,39,59,A
11,Y,first,37,74,A
12,Y,third,33,51,A
13,Y,second,97,4,A
14,Y,second,7,56,A
15,N,second,14,1,D
16,Y,first,36,53,A
17,N,third,26,10,B
18,Y,first,3,85,A
19,N,second,3,15,D
20,N,first,5,24,D
21,Y,second,1,60,A
22,Y,third,44,58,C
23,Y,third,15,24,D
24,N,first,9,11,D
25,Y,first,2,18,A
26,N,second,21,99,A
27,Y,second,18,6,D
28,Y,first,92,54,D
29,Y,first,15,39,A
30,Y,second,58,46,A
31,Y,first,13,25,D
32,Y,first,22,69,F
33,N,third,1,6,A
34,N,third,6,2,F
35,Y,second,57,4,D
36,N,third,86,76,B
37,N,third,13,8,F
38,N,third,52,18,A
39,N,third,40,62,C
40,N,third,6,7,D
41,N,first,65,56,C
42,N,third,12,3,F
43,N,third,90,44,A
44,Y,first,44,79,A
45,Y,third,1,87,F
46,Y,third,10,45,F
47,N,second,13,13,F
48,N,second,49,66,D
49,Y,third,59,47,C
50,Y,first,23,1,F
51,N,second,5,9,F
52,Y,first,54,52,D
53,Y,first,59,56,D
54,N,first,43,69,F
55,N,third,17,6,F
56,Y,third,95,66,F
57,Y,third,52,35,A
58,Y,first,17,17,D
59,Y,second,41,54,F
60,N,third,26,71,F
61,N,first,46,82,B
62,N,second,2,7,A
63,Y,third,44,58,F
64,N,third,3,15,A
65,N,third,24,37,B
66,N,third,45,79,B
67,Y,third,30,59,D
68,Y,third,4,83,F
69,N,third,5,10,F
70,Y,second,62,36,A
71,Y,first,34,79,A
72,Y,second,19,57,F
73,Y,second,22,20,F
74,Y,third,4,3,B
75,Y,second,27,48,D
76,N,third,4,6,A
77,N,third,7,37,B
78,N,third,6,14,F
79,Y,second,88,50,A
80,N,third,5,14,A
81,Y,third,6,8,B
82,N,third,17,52,F
83,Y,second,51,41,A
84,Y,third,43,7,A
85,N,second,16,4,D
86,Y,third,48,3,B
87,Y,second,41,54,D
88,N,third,88,54,C
89,Y,first,47,15,B
90,Y,second,31,52,D
91,Y,first,33,53,B
92,N,second,6,22,D
93,Y,second,90,60,B
94,N,second,3,2,F
95,Y,second,75,69,B
96,N,second,3,11,A
97,Y,first,21,75,C
98,Y,second,73,15,B
99,Y,third,16,63,F
100,Y,third,84,80,A
101,Y,third,4,5,A
102,Y,third,32,38,D
103,N,third,5,3,D
104,N,third,15,38,D
105,N,third,84,78,F
106,N,second,18,21,F
107,Y,first,14,57,A
108,N,third,13,7,F
109,Y,third,82,90,D
110,Y,first,60,16,D
111,Y,first,31,56,D
112,Y,third,27,43,C
113,Y,first,23,35,B
114,Y,third,92,96,A
115,N,third,3,11,F
116,Y,third,95,71,A
117,N,first,2,13,D
118,Y,third,10,89,B
119,N,second,18,6,D
120,N,first,15,16,D
121,Y,second,41,67,A
122,N,second,2,6,A
123,N,first,3,20,D
124,N,third,9,16,F
125,Y,second,62,43,F
126,Y,second,2,6,D
127,N,third,6,14,A
128,Y,third,17,3,D
129,N,third,90,14,D
130,N,third,2,10,A
131,N,third,66,1,A
132,Y,third,7,12,F
133,Y,first,8,29,F
134,Y,first,62,84,C
135,N,first,66,75,D
136,Y,second,72,28,D
137,N,second,0,24,F
138,Y,third,21,77,C
139,Y,first,96,33,D
140,Y,third,25,59,A
141,Y,second,57,46,D
142,N,first,50,19,F
143,Y,third,61,84,D
144,Y,third,63,50,D
145,N,third,5,9,F
146,Y,third,53,59,D
147,N,first,3,56,B
148,N,first,66,94,F
149,N,first,49,86,F
150,N,second,1,15,A
151,Y,first,15,90,B
152,Y,third,1,13,F
153,N,third,1,7,A
154,Y,third,27,72,C
155,N,second,6,3,A
156,N,second,75,61,A
157,Y,third,3,2,A
158,Y,third,11,60,A
159,N,second,99,44,A
160,Y,first,11,10,F
161,Y,third,42,71,B
162,Y,third,3,54,A
163,N,third,5,10,A
164,Y,first,15,31,F
165,Y,first,34,33,B
166,Y,first,51,42,C
167,Y,first,48,43,C
168,N,second,79,49,A
169,Y,third,18,81,A
170,N,third,56,23,B
171,N,third,4,14,A
172,N,third,73,68,D
173,Y,second,45,73,F
174,N,third,79,95,D
175,N,third,3,12,A
176,Y,second,50,68,A
177,Y,second,92,51,B
178,Y,third,96,0,B
179,N,third,80,88,F
180,Y,third,58,56,C
181,N,first,97,34,A
182,N,third,2,16,B
183,Y,second,6,13,B
184,N,third,5,10,F
185,Y,first,9,15,F
186,N,third,61,57,A
187,Y,third,96,80,F
188,Y,third,1,45,A
189,N,first,11,3,D
190,N,second,64,32,A
191,N,second,42,48,D
192,Y,second,41,59,D
193,Y,third,1,85,C
194,Y,third,19,66,A
195,Y,first,41,74,C
196,N,first,3,15,F
197,Y,third,61,99,B
198,N,second,6,8,A
199,N,second,4,11,D
200,Y,third,70,66,C
201,Y,second,12,6,D
202,Y,third,58,39,F
203,Y,first,27,29,C
204,Y,third,69,98,D
205,Y,first,28,40,B
206,N,second,21,71,C
207,N,third,93,55,A
208,Y,second,80,18,C
209,Y,third,6,14,F
210,Y,third,20,54,A
211,N,second,52,52,D
212,N,first,26,9,F
213,N,third,23,84,D
214,Y,third,5,49,A
215,Y,first,22,41,F
216,Y,third,73,98,A
217,Y,third,59,74,A
218,N,third,96,46,A
219,Y,first,42,79,B
220,N,third,8,8,A
221,Y,first,34,45,F
222,Y,third,99,87,B
223,Y,first,18,2,D
224,N,third,83,24,C
225,Y,third,97,38,A
226,Y,third,5,2,A
227,Y,third,50,50,A
228,Y,third,37,53,A
229,N,third,21,27,F
230,Y,third,72,60,C
231,Y,first,2,3,D
232,Y,third,54,72,A
233,N,third,27,68,D
234,N,third,17,7,D
235,Y,third,53,69,A
236,Y,second,94,52,F
237,Y,third,56,28,B
238,N,third,5,4,B
239,Y,second,19,44,A
240,N,second,56,34,F
241,Y,third,19,3,D
242,Y,third,7,59,C
243,N,first,5,11,F
244,N,third,4,15,A
245,N,second,77,88,C
246,Y,third,23,90,C
247,Y,second,68,20,D
248,N,second,5,12,F
249,Y,second,22,39,F
250,Y,third,63,74,A
251,N,third,41,76,F
252,N,third,14,18,D
253,N,third,9,16,B
254,Y,first,86,25,A
255,Y,third,44,77,F
256,Y,third,9,10,A
257,N,second,88,31,B
258,Y,third,45,70,A
259,Y,first,20,41,D
260,Y,third,59,58,A
261,N,second,0,24,B
262,N,third,4,21,F
263,Y,third,41,73,C
264,Y,third,68,69,F
265,N,third,59,75,C
266,Y,second,58,31,B
267,Y,third,86,39,D
268,Y,second,86,63,A
269,Y,first,15,4,D
270,N,first,4,11,D
271,N,third,62,36,A
272,Y,third,19,61,F
273,Y,second,62,69,A
274,N,third,11,24,D
275,Y,second,83,79,A
