,External,Year,session 1,session 2,test 1,dropout
0,N,third,13,20,F,Y
1,N,third,71,77,A,N
2,Y,first,32,62,F,N
3,Y,first,8,4,F,N
4,Y,first,6,1,F,N
5,N,third,87,67,A,Y
6,Y,second,9,25,F,N
7,Y,second,44,50,A,Y
8,Y,third,60,88,C,Y
9,Y,second,27,39,F,Y
10,Y,first,39,59,A,Y
11,Y,first,37,74,A,N
12,Y,third,33,51,A,N
13,Y,second,97,4,A,Y
14,Y,second,7,56,A,Y
15,N,second,14,1,D,N
16,Y,first,36,53,A,Y
17,N,third,26,10,B,Y
18,Y,first,3,85,A,Y
19,N,second,3,15,D,N
20,N,first,5,24,D,N
21,Y,second,1,60,A,Y
22,Y,third,44,58,C,N
23,Y,third,15,24,D,Y
24,N,first,9,11,D,N
25,Y,first,2,18,A,Y
26,N,second,21,99,A,Y
27,Y,second,18,6,D,N
28,Y,first,92,54,D,Y
29,Y,first,15,39,A,Y
30,Y,second,58,46,A,Y
31,Y,first,13,25,D,N
32,Y,first,22,69,F,N
33,N,third,1,6,A,N
34,N,third,6,2,F,N
35,Y,second,57,4,D,Y
36,N,third,86,76,B,N
37,N,third,13,8,F,Y
38,N,third,52,18,A,Y
39,N,third,40,62,C,Y
40,N,third,6,7,D,N
41,N,first,65,56,C,N
42,N,third,12,3,F,N
43,N,third,90,44,A,N
44,Y,first,44,79,A,Y
45,Y,third,1,87,F,Y
46,Y,third,10,45,F,Y
47,N,second,13,13,F,N
48,N,second,49,66,D,N
49,Y,third,59,47,C,Y
50,Y,first,23,1,F,Y
51,N,second,5,9,F,N
52,Y,first,54,52,D,N
53,Y,first,59,56,D,Y
54,N,first,43,69,F,N
55,N,third,17,6,F,Y
56,Y,third,95,66,F,N
57,Y,third,52,35,A,Y
58,Y,first,17,17,D,N
59,Y,second,41,54,F,N
60,N,third,26,71,F,Y
61,N,first,46,82,B,N
62,N,second,2,7,A,N
63,Y,third,44,58,F,N
64,N,third,3,15,A,N
65,N,third,24,37,B,Y
66,N,third,45,79,B,N
67,Y,third,30,59,D,Y
68,Y,third,4,83,F,Y
69,N,third,5,10,F,N
70,Y,second,62,36,A,Y
71,Y,first,34,79,A,N
72,Y,second,19,57,F,N
73,Y,second,22,20,F,Y
74,Y,third,4,3,B,N
75,Y,second,27,48,D,N
76,N,third,4,6,A,N
77,N,third,7,37,B,Y
78,N,third,6,14,F,N
79,Y,second,88,50,A,N
80,N,third,5,14,A,N
81,Y,third,6,8,B,N
82,N,third,17,52,F,N
83,Y,second,51,41,A,Y
84,Y,third,43,7,A,Y
85,N,second,16,4,D,N
86,Y,third,48,3,B,N
87,Y,second,41,54,D,Y
88,N,third,88,54,C,N
89,Y,first,47,15,B,Y
90,Y,second,31,52,D,Y
91,Y,first,33,53,B,Y
92,N,second,6,22,D,N
93,Y,second,90,60,B,N
94,N,second,3,2,F,N
95,Y,second,75,69,B,N
96,N,second,3,11,A,N
97,Y,first,21,75,C,Y
98,Y,second,73,15,B,N
99,Y,third,16,63,F,N
100,Y,third,84,80,A,Y
101,Y,third,4,5,A,N
102,Y,third,32,38,D,Y
103,N,third,5,3,D,N
104,N,third,15,38,D,Y
105,N,third,84,78,F,N
106,N,second,18,21,F,N
107,Y,first,14,57,A,N
108,N,third,13,7,F,N
109,Y,third,82,90,D,N
110,Y,first,60,16,D,Y
111,Y,first,31,56,D,Y
112,Y,third,27,43,C,Y
113,Y,first,23,35,B,Y
114,Y,third,92,96,A,Y
115,N,third,3,11,F,N
116,Y,third,95,71,A,N
117,N,first,2,13,D,N
118,Y,third,10,89,B,Y
119,N,second,18,6,D,N
120,N,first,15,16,D,N
121,Y,second,41,67,A,Y
122,N,second,2,6,A,N
123,N,first,3,20,D,N
124,N,third,9,16,F,N
125,Y,second,62,43,F,N
126,Y,second,2,6,D,N
127,N,third,6,14,A,N
128,Y,third,17,3,D,Y
129,N,third,90,14,D,Y
130,N,third,2,10,A,N
131,N,third,66,1,A,N
132,Y,third,7,12,F,N
133,Y,first,8,29,F,N
134,Y,first,62,84,C,N
135,N,first,66,75,D,Y
136,Y,second,72,28,D,Y
137,N,second,0,24,F,Y
138,Y,third,21,77,C,N
139,Y,first,96,33,D,N
140,Y,third,25,59,A,N
141,Y,second,57,46,D,Y
142,N,first,50,19,F,N
143,Y,third,61,84,D,Y
144,Y,third,63,50,D,Y
145,N,third,5,9,F,N
146,Y,third,53,59,D,Y
147,N,first,3,56,B,N
148,N,first,66,94,F,N
149,N,first,49,86,F,N
150,N,second,1,15,A,N
151,Y,first,15,90,B,Y
152,Y,third,1,13,F,Y
153,N,third,1,7,A,N
154,Y,third,27,72,C,N
155,N,second,6,3,A,N
156,N,second,75,61,A,N
157,Y,third,3,2,A,N
158,Y,third,11,60,A,N
159,N,second,99,44,A,N
160,Y,first,11,10,F,Y
161,Y,third,42,71,B,N
162,Y,third,3,54,A,N
163,N,third,5,10,A,N
164,Y,first,15,31,F,N
165,Y,first,34,33,B,N
166,Y,first,51,42,C,Y
167,Y,first,48,43,C,Y
168,N,second,79,49,A,N
169,Y,third,18,81,A,N
170,N,third,56,23,B,Y
171,N,third,4,14,A,N
172,N,third,73,68,D,N
173,Y,second,45,73,F,Y
174,N,third,79,95,D,Y
175,N,third,3,12,A,N
176,Y,second,50,68,A,N
177,Y,second,92,51,B,N
178,Y,third,96,0,B,N
179,N,third,80,88,F,N
180,Y,third,58,56,C,Y
181,N,first,97,34,A,N
182,N,third,2,16,B,N
183,Y,second,6,13,B,N
184,N,third,5,10,F,N
185,Y,first,9,15,F,N
186,N,third,61,57,A,Y
187,Y,third,96,80,F,N
188,Y,third,1,45,A,Y
189,N,first,11,3,D,N
190,N,second,64,32,A,N
191,N,second,42,48,D,N
192,Y,second,41,59,D,Y
193,Y,third,1,85,C,Y
194,Y,third,19,66,A,N
195,Y,first,41,74,C,Y
196,N,first,3,15,F,N
197,Y,third,61,99,B,N
198,N,second,6,8,A,N
199,N,second,4,11,D,N
200,Y,third,70,66,C,N
201,Y,second,12,6,D,Y
202,Y,third,58,39,F,N
203,Y,first,27,29,C,Y
204,Y,third,69,98,D,N
205,Y,first,28,40,B,Y
206,N,second,21,71,C,N
207,N,third,93,55,A,N
208,Y,second,80,18,C,Y
209,Y,third,6,14,F,N
210,Y,third,20,54,A,N
211,N,second,52,52,D,Y
212,N,first,26,9,F,N
213,N,third,23,84,D,N
214,Y,third,5,49,A,Y
215,Y,first,22,41,F,Y
216,Y,third,73,98,A,N
217,Y,third,59,74,A,N
218,N,third,96,46,A,N
219,Y,first,42,79,B,Y
220,N,third,8,8,A,N
221,Y,first,34,45,F,Y
222,Y,third,99,87,B,N
223,Y,first,18,2,D,Y
224,N,third,83,24,C,N
225,Y,third,97,38,A,N
226,Y,third,5,2,A,N
227,Y,third,50,50,A,N
228,Y,third,37,53,A,Y
229,N,third,21,27,F,Y
230,Y,third,72,60,C,N
231,Y,first,2,3,D,N
232,Y,third,54,72,A,Y
233,N,third,27,68,D,Y
234,N,third,17,7,D,N
235,Y,third,53,69,A,N
236,Y,second,94,52,F,N
237,Y,third,56,28,B,Y
238,N,third,5,4,B,N
239,Y,second,19,44,A,Y
240,N,second,56,34,F,N
241,Y,third,19,3,D,Y
242,Y,third,7,59,C,N
243,N,first,5,11,F,N
244,N,third,4,15,A,N
245,N,second,77,88,C,N
246,Y,third,23,90,C,N
247,Y,second,68,20,D,Y
248,N,second,5,12,F,N
249,Y,second,22,39,F,Y
250,Y,third,63,74,A,Y
251,N,third,41,76,F,Y
252,N,third,14,18,D,N
253,N,third,9,16,B,N
254,Y,first,86,25,A,Y
255,Y,third,44,77,F,N
256,Y,third,9,10,A,N
257,N,second,88,31,B,Y
258,Y,third,45,70,A,N
259,Y,first,20,41,D,Y
260,Y,third,59,58,A,N
261,N,second,0,24,B,Y
262,N,third,4,21,F,Y
263,Y,third,41,73,C,N
264,Y,third,68,69,F,N
265,N,third,59,75,C,Y
266,Y,second,58,31,B,N
267,Y,third,86,39,D,Y
268,Y,second,86,63,A,N
269,Y,first,15,4,D,N
270,N,first,4,11,D,N
271,N,third,62,36,A,N
272,Y,third,19,61,F,N
273,Y,second,62,69,A,N
274,N,third,11,24,D,N
275,Y,second,83,79,A,N
276,Y,second,45,36,C,Y
277,N,second,2,22,F,N
278,N,third,96,63,A,Y
279,N,first,6,5,F,N
280,N,third,3,14,A,N
281,Y,third,32,40,C,Y
282,Y,first,16,15,D,Y
283,Y,second,80,82,C,N
284,N,third,68,78,F,Y
285,Y,first,48,50,A,Y
286,N,first,65,49,A,N
287,N,third,13,27,D,N
288,N,third,9,10,A,N
289,Y,third,73,92,B,N
290,N,first,44,27,C,N
291,Y,first,30,26,A,N
292,Y,first,97,68,D,N
293,N,third,3,15,F,N
294,Y,third,2,16,A,N
295,Y,second,93,90,A,N
296,N,second,2,9,F,N
297,N,third,94,68,C,N
298,Y,third,97,35,B,Y
299,Y,third,8,4,A,N
300,N,third,35,56,D,Y
301,N,second,7,17,F,N
