,session 3,session 4,test 2
0,,,
1,40.0,67.0,A
2,76.0,77.0,A
3,46.0,36.0,C
4,23.0,33.0,D
5,15.0,69.0,F
6,22.0,40.0,C
7,28.0,10.0,D
8,50.0,52.0,F
9,,,
10,48.0,47.0,D
11,91.0,25.0,C
12,93.0,35.0,A
13,10.0,22.0,D
14,39.0,51.0,A
15,22.0,31.0,F
16,50.0,62.0,D
17,,,
18,88.0,55.0,F
19,57.0,49.0,D
20,36.0,51.0,D
21,17.0,31.0,D
22,68.0,41.0,B
23,35.0,62.0,B
24,31.0,46.0,C
25,4.0,83.0,F
26,73.0,43.0,A
27,43.0,35.0,B
28,68.0,82.0,D
29,89.0,83.0,C
30,66.0,11.0,F
31,35.0,39.0,C
32,66.0,54.0,C
33,3.0,39.0,A
34,4.0,49.0,D
35,70.0,5.0,D
36,82.0,41.0,C
37,,,
38,50.0,20.0,C
39,64.0,9.0,F
40,59.0,34.0,F
41,11.0,7.0,F
42,50.0,42.0,D
43,89.0,4.0,A
44,81.0,0.0,C
45,76.0,46.0,B
46,,,
47,26.0,47.0,F
48,11.0,97.0,A
49,27.0,16.0,F
50,,,
51,11.0,26.0,D
52,75.0,56.0,B
53,43.0,20.0,F
54,8.0,68.0,D
55,,,
56,67.0,51.0,B
57,52.0,13.0,F
58,41.0,33.0,F
59,62.0,55.0,A
60,20.0,30.0,A
61,14.0,56.0,F
62,11.0,8.0,B
63,88.0,41.0,B
64,8.0,40.0,C
65,,,
66,67.0,55.0,D
67,17.0,30.0,F
68,81.0,98.0,D
69,3.0,21.0,A
70,14.0,16.0,A
71,88.0,64.0,C
72,43.0,33.0,C
73,,,
74,13.0,22.0,B
75,80.0,94.0,B
76,5.0,55.0,B
77,,,
78,8.0,32.0,C
79,58.0,24.0,D
80,5.0,55.0,B
81,6.0,16.0,C
82,43.0,16.0,A
83,64.0,4.0,F
84,99.0,52.0,F
85,22.0,44.0,D
86,66.0,71.0,F
87,44.0,12.0,F
88,84.0,74.0,A
89,68.0,67.0,B
90,19.0,42.0,F
91,69.0,27.0,B
92,53.0,42.0,D
93,83.0,94.0,F
94,12.0,34.0,F
95,52.0,14.0,A
96,5.0,22.0,D
97,88.0,55.0,C
98,61.0,37.0,A
99,64.0,27.0,B
100,35.0,47.0,A
101,1.0,18.0,D
102,21.0,50.0,F
103,20.0,51.0,D
104,48.0,49.0,B
105,81.0,86.0,D
106,46.0,37.0,B
107,95.0,75.0,A
108,53.0,31.0,C
109,29.0,55.0,C
110,15.0,43.0,A
111,7.0,44.0,D
112,,,
113,2.0,42.0,F
114,47.0,6.0,C
115,4.0,37.0,C
116,43.0,28.0,F
117,44.0,30.0,D
118,30.0,64.0,C
119,28.0,31.0,F
120,55.0,47.0,B
121,8.0,85.0,F
122,4.0,55.0,F
123,22.0,46.0,D
124,2.0,37.0,A
125,73.0,99.0,B
126,53.0,33.0,D
127,1.0,41.0,D
128,,,
129,93.0,29.0,A
130,6.0,46.0,A
131,99.0,70.0,B
132,3.0,33.0,C
133,58.0,47.0,C
134,51.0,84.0,A
135,61.0,66.0,A
136,34.0,76.0,D
137,,,
138,50.0,55.0,B
139,89.0,67.0,A
140,50.0,55.0,B
141,62.0,4.0,F
142,32.0,48.0,C
143,48.0,11.0,C
144,1.0,30.0,B
145,46.0,45.0,D
146,19.0,13.0,C
147,51.0,53.0,C
148,82.0,55.0,F
149,28.0,7.0,D
150,8.0,16.0,F
151,2.0,9.0,B
152,40.0,28.0,F
153,2.0,11.0,C
154,64.0,64.0,C
155,3.0,44.0,C
156,79.0,71.0,D
157,12.0,54.0,D
158,50.0,78.0,C
159,81.0,18.0,D
160,,,
161,61.0,33.0,B
162,17.0,65.0,F
163,7.0,42.0,B
164,54.0,4.0,A
165,20.0,63.0,D
166,32.0,2.0,F
167,43.0,16.0,F
168,65.0,40.0,A
169,59.0,17.0,A
170,18.0,77.0,B
171,1.0,48.0,D
172,71.0,60.0,A
173,34.0,30.0,D
174,27.0,62.0,C
175,9.0,14.0,F
176,95.0,72.0,B
177,42.0,34.0,B
178,72.0,68.0,A
179,70.0,37.0,C
180,41.0,1.0,F
181,72.0,4.0,D
182,12.0,8.0,B
183,8.0,43.0,C
184,13.0,53.0,F
185,30.0,38.0,D
186,45.0,61.0,D
187,18.0,48.0,D
188,66.0,69.0,C
189,31.0,48.0,B
190,78.0,82.0,C
191,90.0,53.0,D
192,31.0,17.0,F
193,22.0,26.0,A
194,14.0,58.0,C
195,37.0,40.0,D
196,41.0,50.0,B
197,40.0,92.0,C
198,8.0,55.0,A
199,31.0,52.0,F
200,54.0,68.0,D
201,,,
202,20.0,47.0,C
203,,,
204,40.0,24.0,A
205,45.0,32.0,F
206,89.0,36.0,D
207,54.0,99.0,A
208,24.0,4.0,C
209,3.0,49.0,B
210,94.0,34.0,A
211,52.0,86.0,F
212,93.0,65.0,B
213,21.0,35.0,B
214,70.0,5.0,D
215,34.0,16.0,D
216,53.0,73.0,A
217,99.0,58.0,B
218,89.0,78.0,D
219,53.0,6.0,B
220,9.0,24.0,C
221,32.0,5.0,D
222,72.0,42.0,A
223,,,
224,14.0,52.0,F
225,9.0,56.0,F
226,1.0,30.0,A
227,50.0,66.0,F
228,56.0,45.0,C
229,,,
230,81.0,6.0,F
231,29.0,52.0,D
232,67.0,75.0,D
233,58.0,87.0,D
234,23.0,34.0,D
235,79.0,36.0,A
236,57.0,34.0,A
237,26.0,1.0,F
238,11.0,56.0,C
239,55.0,31.0,C
240,92.0,63.0,A
241,52.0,54.0,A
242,79.0,88.0,C
243,59.0,42.0,D
244,4.0,17.0,B
245,19.0,22.0,C
246,93.0,37.0,C
247,65.0,63.0,C
248,43.0,42.0,F
249,30.0,0.0,D
250,12.0,98.0,B
251,94.0,17.0,A
252,36.0,54.0,D
253,11.0,8.0,C
254,27.0,43.0,D
255,96.0,47.0,B
256,7.0,35.0,D
257,39.0,42.0,C
258,72.0,41.0,C
259,,,
260,65.0,77.0,C
261,,,
262,,,
263,88.0,4.0,F
264,65.0,76.0,B
265,78.0,96.0,F
266,68.0,67.0,A
267,70.0,38.0,C
268,90.0,63.0,A
269,40.0,39.0,C
270,48.0,48.0,D
271,58.0,88.0,D
272,62.0,74.0,B
273,43.0,17.0,A
274,41.0,52.0,C
275,40.0,73.0,D
276,15.0,12.0,F
277,28.0,51.0,D
278,44.0,29.0,C
279,40.0,50.0,D
280,8.0,15.0,D
281,10.0,12.0,F
282,,,
283,66.0,49.0,A
284,54.0,30.0,D
285,27.0,47.0,D
286,89.0,81.0,F
287,26.0,43.0,D
288,13.0,56.0,B
289,56.0,60.0,F
290,33.0,38.0,F
291,98.0,21.0,B
292,68.0,9.0,B
293,2.0,32.0,B
294,12.0,55.0,C
295,73.0,18.0,C
296,8.0,28.0,B
297,73.0,71.0,B
298,46.0,82.0,B
299,10.0,12.0,F
300,76.0,83.0,C
301,48.0,31.0,C
302,21.0,39.0,C
303,8.0,48.0,B
304,83.0,69.0,A
305,,,
306,,,
307,,,
308,8.0,26.0,D
309,18.0,56.0,A
310,,,
311,,,
312,82.0,37.0,B
313,33.0,42.0,B
314,55.0,8.0,F
315,8.0,51.0,C
316,72.0,83.0,A
317,99.0,66.0,A
318,78.0,99.0,D
319,3.0,16.0,B
320,11.0,26.0,C
321,49.0,36.0,D
322,2.0,30.0,B
323,31.0,36.0,C
324,24.0,6.0,D
325,58.0,19.0,D
326,45.0,53.0,D
327,4.0,51.0,C
328,15.0,48.0,F
329,13.0,49.0,C
