,session 3,session 4,test 2,dropout
0,,,,Y
1,40.0,67.0,A,N
2,76.0,77.0,A,N
3,46.0,36.0,C,N
4,23.0,33.0,D,N
5,15.0,69.0,F,Y
6,22.0,40.0,C,N
7,28.0,10.0,D,Y
8,50.0,52.0,F,Y
9,,,,Y
10,48.0,47.0,D,Y
11,91.0,25.0,C,N
12,93.0,35.0,A,N
13,10.0,22.0,D,Y
14,39.0,51.0,A,Y
15,22.0,31.0,F,N
16,50.0,62.0,D,Y
17,,,,Y
18,88.0,55.0,F,Y
19,57.0,49.0,D,N
20,36.0,51.0,D,N
21,17.0,31.0,D,Y
22,68.0,41.0,B,N
23,35.0,62.0,B,Y
24,31.0,46.0,C,N
25,4.0,83.0,F,Y
26,73.0,43.0,A,Y
27,43.0,35.0,B,N
28,68.0,82.0,D,Y
29,89.0,83.0,C,Y
30,66.0,11.0,F,Y
31,35.0,39.0,C,N
32,66.0,54.0,C,N
33,3.0,39.0,A,N
34,4.0,49.0,D,N
35,70.0,5.0,D,Y
36,82.0,41.0,C,N
37,,,,Y
38,50.0,20.0,C,Y
39,64.0,9.0,F,Y
40,59.0,34.0,F,N
41,11.0,7.0,F,N
42,50.0,42.0,D,N
43,89.0,4.0,A,N
44,81.0,0.0,C,Y
45,76.0,46.0,B,Y
46,,,,Y
47,26.0,47.0,F,N
48,11.0,97.0,A,N
49,27.0,16.0,F,Y
50,,,,Y
51,11.0,26.0,D,N
52,75.0,56.0,B,N
53,43.0,20.0,F,Y
54,8.0,68.0,D,N
55,,,,Y
56,67.0,51.0,B,N
57,52.0,13.0,F,Y
58,41.0,33.0,F,N
59,62.0,55.0,A,N
60,20.0,30.0,A,Y
61,14.0,56.0,F,N
62,11.0,8.0,B,N
63,88.0,41.0,B,N
64,8.0,40.0,C,N
65,,,,Y
66,67.0,55.0,D,N
67,17.0,30.0,F,Y
68,81.0,98.0,D,Y
69,3.0,21.0,A,N
70,14.0,16.0,A,Y
71,88.0,64.0,C,N
72,43.0,33.0,C,N
73,,,,Y
74,13.0,22.0,B,N
75,80.0,94.0,B,N
76,5.0,55.0,B,N
77,,,,Y
78,8.0,32.0,C,N
79,58.0,24.0,D,N
80,5.0,55.0,B,N
81,6.0,16.0,C,N
82,43.0,16.0,A,N
83,64.0,4.0,F,Y
84,99.0,52.0,F,Y
85,22.0,44.0,D,N
86,66.0,71.0,F,N
87,44.0,12.0,F,Y
88,84.0,74.0,A,N
89,68.0,67.0,B,Y
90,19.0,42.0,F,Y
91,69.0,27.0,B,Y
92,53.0,42.0,D,N
93,83.0,94.0,F,N
94,12.0,34.0,F,N
95,52.0,14.0,A,N
96,5.0,22.0,D,N
97,88.0,55.0,C,Y
98,61.0,37.0,A,N
99,64.0,27.0,B,N
100,35.0,47.0,A,Y
101,1.0,18.0,D,N
102,21.0,50.0,F,Y
