,session 5,test 3
0,,
1,69.0,A
2,35.0,F
3,93.0,B
4,90.0,C
5,67.0,F
6,72.0,B
7,,
8,,
9,,
10,,
11,47.0,B
12,48.0,C
13,1.0,B
14,32.0,F
15,47.0,C
16,23.0,F
17,,
18,40.0,D
19,64.0,C
20,64.0,C
21,46.0,D
22,10.0,F
23,51.0,D
24,78.0,C
25,19.0,D
26,56.0,D
27,94.0,C
28,,
29,48.0,F
30,,
31,47.0,D
32,14.0,A
33,33.0,A
34,33.0,B
35,64.0,C
36,65.0,F
37,,
38,79.0,F
39,,
40,49.0,A
41,10.0,C
42,70.0,D
43,47.0,A
44,43.0,F
45,2.0,D
46,,
47,97.0,C
48,74.0,C
49,,
50,,
51,34.0,D
52,41.0,A
53,,
54,88.0,B
55,,
56,31.0,A
57,,
58,51.0,B
59,45.0,D
60,83.0,F
61,16.0,C
62,40.0,B
63,57.0,B
64,29.0,D
65,,
66,85.0,A
67,,
68,1.0,D
69,38.0,A
70,28.0,D
71,41.0,F
72,69.0,B
73,,
74,45.0,A
75,61.0,A
76,41.0,A
77,,
78,34.0,B
79,7.0,F
80,35.0,A
81,25.0,B
82,55.0,A
83,,
84,17.0,D
85,45.0,C
86,43.0,D
87,,
88,72.0,F
89,15.0,D
90,,
91,15.0,B
92,56.0,A
93,55.0,A
94,40.0,B
95,27.0,D
96,33.0,D
97,28.0,A
98,89.0,F
99,59.0,F
100,42.0,D
101,29.0,B
102,,
103,56.0,C
104,90.0,D
105,9.0,C
106,96.0,B
107,66.0,B
108,98.0,C
109,6.0,A
110,52.0,C
111,,
112,,
113,,
114,21.0,D
115,26.0,D
116,57.0,A
117,60.0,C
118,59.0,B
119,77.0,B
120,55.0,A
121,37.0,D
122,25.0,F
123,70.0,F
124,31.0,A
125,9.0,D
126,75.0,C
127,25.0,B
128,,
129,77.0,D
130,36.0,A
131,94.0,C
132,42.0,B
133,50.0,F
134,36.0,C
135,,
136,46.0,D
137,,
138,16.0,C
139,20.0,C
140,91.0,C
141,,
142,30.0,C
143,49.0,D
144,23.0,C
145,57.0,B
146,44.0,D
147,18.0,A
148,42.0,D
149,22.0,B
150,35.0,A
151,37.0,C
152,28.0,F
153,37.0,B
154,84.0,F
155,36.0,A
156,79.0,D
157,41.0,D
158,53.0,D
159,38.0,D
160,,
161,46.0,D
162,32.0,B
163,37.0,B
164,98.0,F
165,31.0,D
166,,
167,,
168,19.0,D
169,49.0,F
170,73.0,F
171,31.0,B
172,17.0,A
173,38.0,D
174,87.0,F
175,27.0,D
176,33.0,B
177,67.0,C
178,22.0,B
179,70.0,B
180,,
181,78.0,A
182,25.0,A
183,45.0,B
184,39.0,A
185,57.0,F
186,,
