,session 5,test 3,dropout
0,,,Y
1,69.0,A,N
2,35.0,F,N
3,93.0,B,N
4,90.0,C,N
5,67.0,F,Y
6,72.0,B,N
7,,,Y
8,,,Y
9,,,Y
10,,,Y
11,47.0,B,N
12,48.0,C,N
13,1.0,B,Y
14,32.0,F,Y
15,47.0,C,N
16,23.0,F,Y
17,,,Y
18,40.0,D,Y
19,64.0,C,N
20,64.0,C,N
21,46.0,D,Y
22,10.0,F,N
23,51.0,D,Y
24,78.0,C,N
25,19.0,D,Y
26,56.0,D,Y
27,94.0,C,N
28,,,Y
29,48.0,F,Y
30,,,Y
31,47.0,D,N
32,14.0,A,N
33,33.0,A,N
34,33.0,B,N
35,64.0,C,Y
36,65.0,F,N
37,,,Y
38,79.0,F,Y
39,,,Y
40,49.0,A,N
41,10.0,C,N
42,70.0,D,N
43,47.0,A,N
44,43.0,F,Y
45,2.0,D,Y
46,,,Y
47,97.0,C,N
48,74.0,C,N
49,,,Y
50,,,Y
51,34.0,D,N
52,41.0,A,N
53,,,Y
54,88.0,B,N
55,,,Y
56,31.0,A,N
57,,,Y
58,51.0,B,N
59,45.0,D,N
60,83.0,F,Y
61,16.0,C,N
62,40.0,B,N
63,57.0,B,N
64,29.0,D,N
65,,,Y
66,85.0,A,N
67,,,Y
68,1.0,D,Y
69,38.0,A,N
70,28.0,D,Y
71,41.0,F,N
72,69.0,B,N
73,,,Y
74,45.0,A,N
75,61.0,A,N
76,41.0,A,N
77,,,Y
78,34.0,B,N
79,7.0,F,N
80,35.0,A,N
81,25.0,B,N
82,55.0,A,N
83,,,Y
84,17.0,D,Y
85,45.0,C,N
86,43.0,D,N
87,,,Y
88,72.0,F,N
89,15.0,D,Y
90,,,Y
91,15.0,B,Y
92,56.0,A,N
93,55.0,A,N
94,40.0,B,N
95,27.0,D,N
96,33.0,D,N
97,28.0,A,Y
98,89.0,F,N
99,59.0,F,N
100,42.0,D,Y
101,29.0,B,N
102,,,Y
103,56.0,C,N
104,90.0,D,Y
105,9.0,C,N
106,96.0,B,N
107,66.0,B,N
108,98.0,C,N
109,6.0,A,N
