,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout,passed_checkpoint_1,passed_checkpoint_2,passed_checkpoint_3
0,N,third,13,20,F,,,,,,,,,,1,0,1,Y,False,False,False
1,N,third,71,77,A,40.0,67.0,A,69.0,A,41.0,A,A,D,13,4,4,N,True,True,True
2,Y,first,32,62,F,76.0,77.0,A,35.0,F,93.0,F,F,B,16,9,3,N,True,True,True
3,Y,first,8,4,F,46.0,36.0,C,93.0,B,79.0,A,D,B,22,4,6,N,True,True,True
4,Y,first,6,1,F,23.0,33.0,D,90.0,C,82.0,C,A,C,19,9,7,N,True,True,True
5,N,third,87,67,A,15.0,69.0,F,67.0,F,,,,,6,0,3,Y,True,True,False
6,Y,second,9,25,F,22.0,40.0,C,72.0,B,32.0,C,B,A,12,3,7,N,True,True,True
7,Y,second,44,50,A,28.0,10.0,D,,,,,,,4,0,0,Y,True,False,False
8,Y,third,60,88,C,50.0,52.0,F,,,,,,,6,4,2,Y,True,False,False
9,Y,second,27,39,F,,,,,,,,,,4,0,0,Y,False,False,False
10,Y,first,39,59,A,48.0,47.0,D,,,,,,,4,0,1,Y,True,False,False
11,Y,first,37,74,A,91.0,25.0,C,47.0,B,67.0,A,F,F,13,8,5,N,True,True,True
12,Y,third,33,51,A,93.0,35.0,A,48.0,C,57.0,B,A,D,11,6,4,N,True,True,True
13,Y,second,97,4,A,10.0,22.0,D,1.0,B,21.0,F,F,F,0,4,2,Y,True,True,True
14,Y,second,7,56,A,39.0,51.0,A,32.0,F,18.0,D,F,C,8,6,0,Y,True,True,True
15,N,second,14,1,D,22.0,31.0,F,47.0,C,97.0,D,B,B,15,8,4,N,True,True,True
16,Y,first,36,53,A,50.0,62.0,D,23.0,F,27.0,F,D,F,11,2,1,Y,True,True,True
17,N,third,26,10,B,,,,,,,,,,7,1,1,Y,False,False,False
18,Y,first,3,85,A,88.0,55.0,F,40.0,D,68.0,D,C,F,7,3,1,Y,True,True,True
19,N,second,3,15,D,57.0,49.0,D,64.0,C,43.0,A,C,A,18,12,4,N,True,True,True
20,N,first,5,24,D,36.0,51.0,D,64.0,C,33.0,C,B,D,23,7,8,N,True,True,True
21,Y,second,1,60,A,17.0,31.0,D,46.0,D,,,,,4,3,0,Y,True,True,False
22,Y,third,44,58,C,68.0,41.0,B,10.0,F,11.0,B,A,F,14,22,1,N,True,True,True
23,Y,third,15,24,D,35.0,62.0,B,51.0,D,,,,,1,3,0,Y,True,True,False
24,N,first,9,11,D,31.0,46.0,C,78.0,C,35.0,C,A,B,3,12,5,N,True,True,True
25,Y,first,2,18,A,4.0,83.0,F,19.0,D,29.0,D,B,D,12,6,0,Y,True,True,True
26,N,second,21,99,A,73.0,43.0,A,56.0,D,,,,,11,1,1,Y,True,True,False
27,Y,second,18,6,D,43.0,35.0,B,94.0,C,74.0,C,A,C,23,12,7,N,True,True,True
28,Y,first,92,54,D,68.0,82.0,D,,,,,,,2,1,0,Y,True,False,False
29,Y,first,15,39,A,89.0,83.0,C,48.0,F,,,,,9,4,0,Y,True,True,False
30,Y,second,58,46,A,66.0,11.0,F,,,,,,,1,0,1,Y,True,False,False
31,Y,first,13,25,D,35.0,39.0,C,47.0,D,47.0,D,B,B,10,11,8,N,True,True,True
32,Y,first,22,69,F,66.0,54.0,C,14.0,A,67.0,F,F,B,17,5,5,N,True,True,True
33,N,third,1,6,A,3.0,39.0,A,33.0,A,22.0,A,F,C,2,2,2,N,True,True,True
34,N,third,6,2,F,4.0,49.0,D,33.0,B,21.0,B,A,A,3,2,1,N,True,True,True
35,Y,second,57,4,D,70.0,5.0,D,64.0,C,70.0,F,F,F,12,0,3,Y,True,True,True
36,N,third,86,76,B,82.0,41.0,C,65.0,F,83.0,F,F,B,16,3,2,N,True,True,True
37,N,third,13,8,F,,,,,,,,,,3,2,1,Y,False,False,False
38,N,third,52,18,A,50.0,20.0,C,79.0,F,,,,,3,2,2,Y,True,True,False
39,N,third,40,62,C,64.0,9.0,F,,,,,,,0,3,1,Y,True,False,False
40,N,third,6,7,D,59.0,34.0,F,49.0,A,75.0,A,A,C,29,17,7,N,True,True,True
41,N,first,65,56,C,11.0,7.0,F,10.0,C,66.0,C,B,F,16,24,7,N,True,True,True
42,N,third,12,3,F,50.0,42.0,D,70.0,D,68.0,C,A,C,7,14,5,N,True,True,True
43,N,third,90,44,A,89.0,4.0,A,47.0,A,52.0,A,B,D,10,9,5,N,True,True,True
44,Y,first,44,79,A,81.0,0.0,C,43.0,F,,,,,0,3,1,Y,True,True,False
45,Y,third,1,87,F,76.0,46.0,B,2.0,D,23.0,C,B,D,11,4,1,Y,True,True,True
46,Y,third,10,45,F,,,,,,,,,,4,0,0,Y,False,False,False
47,N,second,13,13,F,26.0,47.0,F,97.0,C,84.0,B,B,C,11,17,8,N,True,True,True
48,N,second,49,66,D,11.0,97.0,A,74.0,C,10.0,A,A,C,14,15,2,N,True,True,True
49,Y,third,59,47,C,27.0,16.0,F,,,,,,,0,2,0,Y,True,False,False
50,Y,first,23,1,F,,,,,,,,,,2,1,1,Y,False,False,False
51,N,second,5,9,F,11.0,26.0,D,34.0,D,21.0,A,A,C,2,1,2,N,True,True,True
52,Y,first,54,52,D,75.0,56.0,B,41.0,A,90.0,F,C,A,14,7,3,N,True,True,True
53,Y,first,59,56,D,43.0,20.0,F,,,,,,,0,2,0,Y,True,False,False
54,N,first,43,69,F,8.0,68.0,D,88.0,B,53.0,B,F,D,19,20,1,N,True,True,True
55,N,third,17,6,F,,,,,,,,,,6,0,0,Y,False,False,False
56,Y,third,95,66,F,67.0,51.0,B,31.0,A,44.0,F,B,A,8,3,2,N,True,True,True
57,Y,third,52,35,A,52.0,13.0,F,,,,,,,0,0,0,Y,True,False,False
58,Y,first,17,17,D,41.0,33.0,F,51.0,B,28.0,C,B,B,24,5,4,N,True,True,True
59,Y,second,41,54,F,62.0,55.0,A,45.0,D,93.0,C,F,B,7,7,2,N,True,True,True
60,N,third,26,71,F,20.0,30.0,A,83.0,F,,,,,3,1,1,Y,True,True,False
61,N,first,46,82,B,14.0,56.0,F,16.0,C,54.0,D,F,F,6,20,6,N,True,True,True
62,N,second,2,7,A,11.0,8.0,B,40.0,B,21.0,C,F,B,0,1,1,N,True,True,True
63,Y,third,44,58,F,88.0,41.0,B,57.0,B,97.0,D,A,A,15,6,5,N,True,True,True
64,N,third,3,15,A,8.0,40.0,C,29.0,D,24.0,F,A,A,2,1,2,N,True,True,True
65,N,third,24,37,B,,,,,,,,,,1,2,0,Y,False,False,False
66,N,third,45,79,B,67.0,55.0,D,85.0,A,4.0,F,F,A,4,9,6,N,True,True,True
67,Y,third,30,59,D,17.0,30.0,F,,,,,,,2,1,1,Y,True,False,False
68,Y,third,4,83,F,81.0,98.0,D,1.0,D,28.0,C,A,F,11,4,3,Y,True,True,True
69,N,third,5,10,F,3.0,21.0,A,38.0,A,28.0,A,B,A,2,1,2,N,True,True,True
70,Y,second,62,36,A,14.0,16.0,A,28.0,D,,,,,5,1,1,Y,True,True,False
71,Y,first,34,79,A,88.0,64.0,C,41.0,F,55.0,C,A,A,14,5,5,N,True,True,True
72,Y,second,19,57,F,43.0,33.0,C,69.0,B,60.0,A,B,A,6,19,3,N,True,True,True
73,Y,second,22,20,F,,,,,,,,,,3,1,1,Y,False,False,False
74,Y,third,4,3,B,13.0,22.0,B,45.0,A,27.0,C,F,A,0,2,1,N,True,True,True
75,Y,second,27,48,D,80.0,94.0,B,61.0,A,1.0,B,A,C,5,1,6,N,True,True,True
76,N,third,4,6,A,5.0,55.0,B,41.0,A,25.0,B,D,B,4,3,2,N,True,True,True
77,N,third,7,37,B,,,,,,,,,,2,2,0,Y,False,False,False
78,N,third,6,14,F,8.0,32.0,C,34.0,B,26.0,A,C,A,1,3,2,N,True,True,True
79,Y,second,88,50,A,58.0,24.0,D,7.0,F,63.0,D,C,A,16,11,5,N,True,True,True
80,N,third,5,14,A,5.0,55.0,B,35.0,A,24.0,B,A,B,0,1,1,N,True,True,True
81,Y,third,6,8,B,6.0,16.0,C,25.0,B,24.0,A,B,D,0,1,2,N,True,True,True
82,N,third,17,52,F,43.0,16.0,A,55.0,A,17.0,C,F,D,10,8,1,N,True,True,True
83,Y,second,51,41,A,64.0,4.0,F,,,,,,,1,0,1,Y,True,False,False
84,Y,third,43,7,A,99.0,52.0,F,17.0,D,10.0,A,C,F,4,1,3,Y,True,True,True
85,N,second,16,4,D,22.0,44.0,D,45.0,C,72.0,F,A,B,25,4,4,N,True,True,True
86,Y,third,48,3,B,66.0,71.0,F,43.0,D,55.0,A,F,D,9,5,3,N,True,True,True
87,Y,second,41,54,D,44.0,12.0,F,,,,,,,2,0,0,Y,True,False,False
88,N,third,88,54,C,84.0,74.0,A,72.0,F,88.0,D,A,A,16,10,3,N,True,True,True
89,Y,first,47,15,B,68.0,67.0,B,15.0,D,,,,,8,2,0,Y,True,True,False
90,Y,second,31,52,D,19.0,42.0,F,,,,,,,0,1,0,Y,True,False,False
91,Y,first,33,53,B,69.0,27.0,B,15.0,B,1.0,D,F,F,6,4,0,Y,True,True,True
92,N,second,6,22,D,53.0,42.0,D,56.0,A,89.0,F,B,C,20,17,6,N,True,True,True
93,Y,second,90,60,B,83.0,94.0,F,55.0,A,43.0,F,B,F,16,9,2,N,True,True,True
94,N,second,3,2,F,12.0,34.0,F,40.0,B,24.0,A,F,A,3,2,1,N,True,True,True
95,Y,second,75,69,B,52.0,14.0,A,27.0,D,94.0,A,B,A,11,9,2,N,True,True,True
96,N,second,3,11,A,5.0,22.0,D,33.0,D,27.0,A,C,B,1,2,1,N,True,True,True
97,Y,first,21,75,C,88.0,55.0,C,28.0,A,36.0,F,D,D,4,4,1,Y,True,True,True
98,Y,second,73,15,B,61.0,37.0,A,89.0,F,43.0,D,B,C,13,4,3,N,True,True,True
99,Y,third,16,63,F,64.0,27.0,B,59.0,F,77.0,C,F,B,9,5,3,N,True,True,True
100,Y,third,84,80,A,35.0,47.0,A,42.0,D,39.0,B,F,D,14,3,0,Y,True,True,True
101,Y,third,4,5,A,1.0,18.0,D,29.0,B,24.0,A,A,C,3,3,1,N,True,True,True
102,Y,third,32,38,D,21.0,50.0,F,,,,,,,1,0,0,Y,True,False,False
103,N,third,5,3,D,20.0,51.0,D,56.0,C,92.0,A,C,B,9,19,7,N,True,True,True
104,N,third,15,38,D,48.0,49.0,B,90.0,D,,,,,9,3,2,Y,True,True,False
105,N,third,84,78,F,81.0,86.0,D,9.0,C,91.0,B,A,D,15,7,1,N,True,True,True
106,N,second,18,21,F,46.0,37.0,B,96.0,B,70.0,A,F,A,4,18,5,N,True,True,True
107,Y,first,14,57,A,95.0,75.0,A,66.0,B,64.0,F,F,B,8,7,4,N,True,True,True
108,N,third,13,7,F,53.0,31.0,C,98.0,C,28.0,F,C,C,28,5,7,N,True,True,True
109,Y,third,82,90,D,29.0,55.0,C,6.0,A,24.0,C,A,A,5,4,1,N,True,True,True
110,Y,first,60,16,D,15.0,43.0,A,52.0,C,22.0,B,F,C,1,5,2,Y,True,True,True
111,Y,first,31,56,D,7.0,44.0,D,,,,,,,2,1,0,Y,True,False,False
112,Y,third,27,43,C,,,,,,,,,,1,0,1,Y,False,False,False
113,Y,first,23,35,B,2.0,42.0,F,,,,,,,3,0,0,Y,True,False,False
114,Y,third,92,96,A,47.0,6.0,C,21.0,D,0.0,F,D,F,3,4,0,Y,True,True,True
115,N,third,3,11,F,4.0,37.0,C,26.0,D,23.0,A,A,A,2,2,1,N,True,True,True
116,Y,third,95,71,A,43.0,28.0,F,57.0,A,84.0,F,F,D,15,4,4,N,True,True,True
117,N,first,2,13,D,44.0,30.0,D,60.0,C,60.0,B,B,B,9,17,6,N,True,True,True
118,Y,third,10,89,B,30.0,64.0,C,59.0,B,47.0,B,C,D,7,0,2,Y,True,True,True
119,N,second,18,6,D,28.0,31.0,F,77.0,B,41.0,B,B,B,25,6,7,N,True,True,True
120,N,first,15,16,D,55.0,47.0,B,55.0,A,79.0,C,B,C,26,18,4,N,True,True,True
121,Y,second,41,67,A,8.0,85.0,F,37.0,D,5.0,D,F,C,10,5,1,Y,True,True,True
122,N,second,2,6,A,4.0,55.0,F,25.0,F,28.0,D,F,A,4,3,2,N,True,True,True
123,N,first,3,20,D,22.0,46.0,D,70.0,F,71.0,D,C,C,15,16,8,N,True,True,True
124,N,third,9,16,F,2.0,37.0,A,31.0,A,27.0,A,A,D,1,2,1,N,True,True,True
125,Y,second,62,43,F,73.0,99.0,B,9.0,D,53.0,C,D,C,18,9,5,N,True,True,True
126,Y,second,2,6,D,53.0,33.0,D,75.0,C,33.0,B,A,D,23,11,4,N,True,True,True
127,N,third,6,14,A,1.0,41.0,D,25.0,B,29.0,B,D,C,4,1,2,N,True,True,True
128,Y,third,17,3,D,,,,,,,,,,2,0,1,Y,False,False,False
129,N,third,90,14,D,93.0,29.0,A,77.0,D,,,,,0,0,0,Y,True,True,False
130,N,third,2,10,A,6.0,46.0,A,36.0,A,23.0,D,A,B,1,3,1,N,True,True,True
131,N,third,66,1,A,99.0,70.0,B,94.0,C,22.0,F,F,A,2,8,3,N,True,True,True
132,Y,third,7,12,F,3.0,33.0,C,42.0,B,20.0,F,C,D,3,1,2,N,True,True,True
133,Y,first,8,29,F,58.0,47.0,C,50.0,F,78.0,A,D,B,12,5,5,N,True,True,True
134,Y,first,62,84,C,51.0,84.0,A,36.0,C,21.0,A,B,C,8,8,5,N,True,True,True
135,N,first,66,75,D,61.0,66.0,A,,,,,,,4,4,2,Y,True,False,False
136,Y,second,72,28,D,34.0,76.0,D,46.0,D,,,,,10,4,0,Y,True,True,False
137,N,second,0,24,F,,,,,,,,,,0,2,0,Y,False,False,False
138,Y,third,21,77,C,50.0,55.0,B,16.0,C,97.0,C,C,F,5,9,4,N,True,True,True
139,Y,first,96,33,D,89.0,67.0,A,20.0,C,64.0,F,B,C,9,11,1,N,True,True,True
140,Y,third,25,59,A,50.0,55.0,B,91.0,C,50.0,C,F,D,9,8,4,N,True,True,True
141,Y,second,57,46,D,62.0,4.0,F,,,,,,,0,1,1,Y,True,False,False
142,N,first,50,19,F,32.0,48.0,C,30.0,C,71.0,A,A,D,16,15,2,N,True,True,True
143,Y,third,61,84,D,48.0,11.0,C,49.0,D,,,,,0,0,0,Y,True,True,False
144,Y,third,63,50,D,1.0,30.0,B,23.0,C,,,,,8,3,0,Y,True,True,False
145,N,third,5,9,F,46.0,45.0,D,57.0,B,52.0,C,B,C,28,12,6,N,True,True,True
146,Y,third,53,59,D,19.0,13.0,C,44.0,D,16.0,F,F,C,8,3,0,Y,True,True,True
