,External,Year,session 1,session 2,test 1,forum_Q_phase1,forum_A_phase1,office_hours_phase1,dropped_after_test_1
0,0,3,13,20,5,1.0,0.0,1.0,1
1,0,3,71,77,1,4.29,1.32,1.32,0
2,1,1,32,62,5,5.28,2.97,0.99,0
3,1,1,8,4,5,7.260000000000001,1.32,1.98,0
4,1,1,6,1,5,6.2700000000000005,2.97,2.31,0
5,0,3,87,67,1,2.4000000000000004,0.0,1.2000000000000002,0
6,1,2,9,25,5,3.96,0.99,2.31,0
7,1,2,44,50,1,2.0,0.0,0.0,0
8,1,3,60,88,3,3.0,2.0,1.0,0
9,1,2,27,39,5,4.0,0.0,0.0,1
10,1,1,39,59,1,2.0,0.0,0.5,0
11,1,1,37,74,1,4.29,2.64,1.6500000000000001,0
12,1,3,33,51,1,3.6300000000000003,1.98,1.32,0
13,1,2,97,4,1,0.0,1.32,0.66,0
14,1,2,7,56,1,2.64,1.98,0.0,0
15,0,2,14,1,4,4.95,2.64,1.32,0
16,1,1,36,53,1,3.6300000000000003,0.66,0.33,0
17,0,3,26,10,2,7.0,1.0,1.0,1
18,1,1,3,85,1,2.31,0.99,0.33,0
19,0,2,3,15,4,5.94,3.96,1.32,0
20,0,1,5,24,4,7.590000000000001,2.31,2.64,0
21,1,2,1,60,1,1.6,1.2000000000000002,0.0,0
22,1,3,44,58,3,4.62,7.260000000000001,0.33,0
23,1,3,15,24,4,0.4,1.2000000000000002,0.0,0
24,0,1,9,11,4,0.99,3.96,1.6500000000000001,0
25,1,1,2,18,1,3.96,1.98,0.0,0
26,0,2,21,99,1,4.4,0.4,0.4,0
27,1,2,18,6,4,7.590000000000001,3.96,2.31,0
28,1,1,92,54,4,1.0,0.5,0.0,0
29,1,1,15,39,1,3.6,1.6,0.0,0
30,1,2,58,46,1,0.5,0.0,0.5,0
31,1,1,13,25,4,3.3000000000000003,3.6300000000000003,2.64,0
32,1,1,22,69,5,5.61,1.6500000000000001,1.6500000000000001,0
33,0,3,1,6,1,0.66,0.66,0.66,0
34,0,3,6,2,5,0.99,0.66,0.33,0
35,1,2,57,4,4,3.96,0.0,0.99,0
36,0,3,86,76,2,5.28,0.99,0.66,0
37,0,3,13,8,5,3.0,2.0,1.0,1
38,0,3,52,18,1,1.2000000000000002,0.8,0.8,0
39,0,3,40,62,3,0.0,1.5,0.5,0
40,0,3,6,7,4,9.57,5.61,2.31,0
41,0,1,65,56,3,5.28,7.92,2.31,0
42,0,3,12,3,5,2.31,4.62,1.6500000000000001,0
43,0,3,90,44,1,3.3000000000000003,2.97,1.6500000000000001,0
44,1,1,44,79,1,0.0,1.2000000000000002,0.4,0
45,1,3,1,87,5,3.6300000000000003,1.32,0.33,0
46,1,3,10,45,5,4.0,0.0,0.0,1
47,0,2,13,13,5,3.6300000000000003,5.61,2.64,0
48,0,2,49,66,4,4.62,4.95,0.66,0
49,1,3,59,47,3,0.0,1.0,0.0,0
50,1,1,23,1,5,2.0,1.0,1.0,1
51,0,2,5,9,5,0.66,0.33,0.66,0
52,1,1,54,52,4,4.62,2.31,0.99,0
53,1,1,59,56,4,0.0,1.0,0.0,0
54,0,1,43,69,5,6.2700000000000005,6.6000000000000005,0.33,0
55,0,3,17,6,5,6.0,0.0,0.0,1
56,1,3,95,66,5,2.64,0.99,0.66,0
57,1,3,52,35,1,0.0,0.0,0.0,0
58,1,1,17,17,4,7.92,1.6500000000000001,1.32,0
59,1,2,41,54,5,2.31,2.31,0.66,0
60,0,3,26,71,5,1.2000000000000002,0.4,0.4,0
61,0,1,46,82,2,1.98,6.6000000000000005,1.98,0
62,0,2,2,7,1,0.0,0.33,0.33,0
63,1,3,44,58,5,4.95,1.98,1.6500000000000001,0
64,0,3,3,15,1,0.66,0.33,0.66,0
65,0,3,24,37,2,1.0,2.0,0.0,1
66,0,3,45,79,2,1.32,2.97,1.98,0
67,1,3,30,59,4,1.0,0.5,0.5,0
68,1,3,4,83,5,3.6300000000000003,1.32,0.99,0
69,0,3,5,10,5,0.66,0.33,0.66,0
70,1,2,62,36,1,2.0,0.4,0.4,0
71,1,1,34,79,1,4.62,1.6500000000000001,1.6500000000000001,0
72,1,2,19,57,5,1.98,6.2700000000000005,0.99,0
73,1,2,22,20,5,3.0,1.0,1.0,1
74,1,3,4,3,2,0.0,0.66,0.33,0
75,1,2,27,48,4,1.6500000000000001,0.33,1.98,0
76,0,3,4,6,1,1.32,0.99,0.66,0
77,0,3,7,37,2,2.0,2.0,0.0,1
78,0,3,6,14,5,0.33,0.99,0.66,0
79,1,2,88,50,1,5.28,3.6300000000000003,1.6500000000000001,0
80,0,3,5,14,1,0.0,0.33,0.33,0
81,1,3,6,8,2,0.0,0.33,0.66,0
82,0,3,17,52,5,3.3000000000000003,2.64,0.33,0
83,1,2,51,41,1,0.5,0.0,0.5,0
84,1,3,43,7,1,1.32,0.33,0.99,0
85,0,2,16,4,4,8.25,1.32,1.32,0
86,1,3,48,3,2,2.97,1.6500000000000001,0.99,0
87,1,2,41,54,4,1.0,0.0,0.0,0
88,0,3,88,54,3,5.28,3.3000000000000003,0.99,0
89,1,1,47,15,2,3.2,0.8,0.0,0
90,1,2,31,52,4,0.0,0.5,0.0,0
91,1,1,33,53,2,1.98,1.32,0.0,0
92,0,2,6,22,4,6.6000000000000005,5.61,1.98,0
93,1,2,90,60,2,5.28,2.97,0.66,0
94,0,2,3,2,5,0.99,0.66,0.33,0
95,1,2,75,69,2,3.6300000000000003,2.97,0.66,0
96,0,2,3,11,1,0.33,0.66,0.33,0
97,1,1,21,75,3,1.32,1.32,0.33,0
98,1,2,73,15,2,4.29,1.32,0.99,0
99,1,3,16,63,5,2.97,1.6500000000000001,0.99,0
100,1,3,84,80,1,4.62,0.99,0.0,0
101,1,3,4,5,1,0.99,0.99,0.33,0
102,1,3,32,38,4,0.5,0.0,0.0,0
103,0,3,5,3,4,2.97,6.2700000000000005,2.31,0
104,0,3,15,38,4,3.6,1.2000000000000002,0.8,0
105,0,3,84,78,5,4.95,2.31,0.33,0
