,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,final_dropout,completion_stage
1,0,3,71,77,1,40.0,67.0,1.0,69.0,1.0,41.0,1.0,1.0,4.0,13,4,4,0,3
2,1,1,32,62,5,76.0,77.0,1.0,35.0,5.0,93.0,5.0,5.0,2.0,16,9,3,0,3
3,1,1,8,4,5,46.0,36.0,3.0,93.0,2.0,79.0,1.0,4.0,2.0,22,4,6,0,3
4,1,1,6,1,5,23.0,33.0,4.0,90.0,3.0,82.0,3.0,1.0,3.0,19,9,7,0,3
6,1,2,9,25,5,22.0,40.0,3.0,72.0,2.0,32.0,3.0,2.0,1.0,12,3,7,0,3
11,1,1,37,74,1,91.0,25.0,3.0,47.0,2.0,67.0,1.0,5.0,5.0,13,8,5,0,3
12,1,3,33,51,1,93.0,35.0,1.0,48.0,3.0,57.0,2.0,1.0,4.0,11,6,4,0,3
13,1,2,97,4,1,10.0,22.0,4.0,1.0,2.0,21.0,5.0,5.0,5.0,0,4,2,1,3
14,1,2,7,56,1,39.0,51.0,1.0,32.0,5.0,18.0,4.0,5.0,3.0,8,6,0,1,3
15,0,2,14,1,4,22.0,31.0,5.0,47.0,3.0,97.0,4.0,2.0,2.0,15,8,4,0,3
16,1,1,36,53,1,50.0,62.0,4.0,23.0,5.0,27.0,5.0,4.0,5.0,11,2,1,1,3
18,1,1,3,85,1,88.0,55.0,5.0,40.0,4.0,68.0,4.0,3.0,5.0,7,3,1,1,3
19,0,2,3,15,4,57.0,49.0,4.0,64.0,3.0,43.0,1.0,3.0,1.0,18,12,4,0,3
20,0,1,5,24,4,36.0,51.0,4.0,64.0,3.0,33.0,3.0,2.0,4.0,23,7,8,0,3
22,1,3,44,58,3,68.0,41.0,2.0,10.0,5.0,11.0,2.0,1.0,5.0,14,22,1,0,3
24,0,1,9,11,4,31.0,46.0,3.0,78.0,3.0,35.0,3.0,1.0,2.0,3,12,5,0,3
25,1,1,2,18,1,4.0,83.0,5.0,19.0,4.0,29.0,4.0,2.0,4.0,12,6,0,1,3
27,1,2,18,6,4,43.0,35.0,2.0,94.0,3.0,74.0,3.0,1.0,3.0,23,12,7,0,3
31,1,1,13,25,4,35.0,39.0,3.0,47.0,4.0,47.0,4.0,2.0,2.0,10,11,8,0,3
32,1,1,22,69,5,66.0,54.0,3.0,14.0,1.0,67.0,5.0,5.0,2.0,17,5,5,0,3
33,0,3,1,6,1,3.0,39.0,1.0,33.0,1.0,22.0,1.0,5.0,3.0,2,2,2,0,3
34,0,3,6,2,5,4.0,49.0,4.0,33.0,2.0,21.0,2.0,1.0,1.0,3,2,1,0,3
35,1,2,57,4,4,70.0,5.0,4.0,64.0,3.0,70.0,5.0,5.0,5.0,12,0,3,1,3
36,0,3,86,76,2,82.0,41.0,3.0,65.0,5.0,83.0,5.0,5.0,2.0,16,3,2,0,3
40,0,3,6,7,4,59.0,34.0,5.0,49.0,1.0,75.0,1.0,1.0,3.0,29,17,7,0,3
41,0,1,65,56,3,11.0,7.0,5.0,10.0,3.0,66.0,3.0,2.0,5.0,16,24,7,0,3
42,0,3,12,3,5,50.0,42.0,4.0,70.0,4.0,68.0,3.0,1.0,3.0,7,14,5,0,3
43,0,3,90,44,1,89.0,4.0,1.0,47.0,1.0,52.0,1.0,2.0,4.0,10,9,5,0,3
45,1,3,1,87,5,76.0,46.0,2.0,2.0,4.0,23.0,3.0,2.0,4.0,11,4,1,1,3
47,0,2,13,13,5,26.0,47.0,5.0,97.0,3.0,84.0,2.0,2.0,3.0,11,17,8,0,3
