,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout,test 1_numeric,test 2_numeric,test 3_numeric,ind cw_numeric,group cw_numeric,final grade_numeric,attendance_quality,attendance_rate,attendance_score,forum_engagement,engagement_score,last_test_before_dropout,avg_test_score,engagement_level
0,0,third,13.0,20.0,F,,,,,,,,,,1,0,1,1,0.0,,,,,,0.165,0.3333333333333333,0.055,1,0.056105200945626474,0.0,,very low
1,0,third,71.0,77.0,A,40.0,67.0,A,69.0,A,41.0,A,A,D,13,4,4,0,4.0,4.0,4.0,4.0,4.0,1.0,0.6083333333333334,1.0,0.6083333333333334,17,0.5015661938534279,,4.0,high
2,1,first,32.0,62.0,F,76.0,77.0,A,35.0,F,93.0,F,F,B,16,9,3,0,0.0,4.0,0.0,0.0,0.0,3.0,0.625,1.0,0.625,25,0.538741134751773,,1.3333333333333333,high
3,1,first,8.0,4.0,F,46.0,36.0,C,93.0,B,79.0,A,D,B,22,4,6,0,0.0,2.0,3.0,4.0,1.0,3.0,0.44333333333333336,1.0,0.44333333333333336,26,0.5209574468085106,,1.6666666666666667,high
4,1,first,6.0,1.0,F,23.0,33.0,D,90.0,C,82.0,C,A,C,19,9,7,0,0.0,1.0,2.0,2.0,4.0,2.0,0.39166666666666666,1.0,0.39166666666666666,28,0.530112293144208,,1.0,high
5,0,third,87.0,67.0,A,15.0,69.0,F,67.0,F,,,,,6,0,3,1,4.0,0.0,0.0,,,,0.61,0.8333333333333334,0.5083333333333333,6,0.35913120567375884,0.0,,low
6,1,second,9.0,25.0,F,22.0,40.0,C,72.0,B,32.0,C,B,A,12,3,7,0,0.0,2.0,3.0,2.0,3.0,4.0,0.33333333333333337,1.0,0.33333333333333337,15,0.4179669030732861,,1.6666666666666667,medium
7,1,second,44.0,50.0,A,28.0,10.0,D,,,,,,,4,0,0,1,4.0,1.0,,,,,0.33,0.6666666666666666,0.22,4,0.13553191489361702,1.0,,very low
8,1,third,60.0,88.0,C,50.0,52.0,F,,,,,,,6,4,2,1,2.0,0.0,,,,,0.625,0.6666666666666666,0.41666666666666663,10,0.3166075650118203,0.0,,low
9,1,second,27.0,39.0,F,,,,,,,,,,4,0,0,1,0.0,,,,,,0.33,0.3333333333333333,0.11,4,0.08053191489361702,0.0,,very low
10,1,first,39.0,59.0,A,48.0,47.0,D,,,,,,,4,0,1,1,4.0,1.0,,,,,0.4825,0.6666666666666666,0.32166666666666666,4,0.20858747044917259,1.0,,low
11,1,first,37.0,74.0,A,91.0,25.0,C,47.0,B,67.0,A,F,F,13,8,5,0,4.0,2.0,3.0,4.0,0.0,0.0,0.5683333333333334,1.0,0.5683333333333334,21,0.5293203309692672,,3.0,high
12,1,third,33.0,51.0,A,93.0,35.0,A,48.0,C,57.0,B,A,D,11,6,4,0,4.0,4.0,2.0,3.0,4.0,1.0,0.5283333333333333,1.0,0.5283333333333333,17,0.4615661938534279,,3.3333333333333335,medium
13,1,second,97.0,4.0,A,10.0,22.0,D,1.0,B,21.0,F,F,F,0,4,2,1,4.0,1.0,3.0,0.0,0.0,0.0,0.2583333333333333,1.0,0.2583333333333333,4,0.19914302600472814,3.0,,low
14,1,second,7.0,56.0,A,39.0,51.0,A,32.0,F,18.0,D,F,C,8,6,0,1,4.0,4.0,0.0,1.0,0.0,2.0,0.3383333333333334,1.0,0.3383333333333334,14,0.2585283687943263,0.0,,low
15,0,second,14.0,1.0,D,22.0,31.0,F,47.0,C,97.0,D,B,B,15,8,4,0,1.0,0.0,2.0,1.0,3.0,3.0,0.35333333333333333,1.0,0.35333333333333333,23,0.41236406619385346,,1.0,medium
16,1,first,36.0,53.0,A,50.0,62.0,D,23.0,F,27.0,F,D,F,11,2,1,1,4.0,1.0,0.0,0.0,1.0,0.0,0.41833333333333333,1.0,0.41833333333333333,13,0.3143676122931442,0.0,,low
17,0,third,26.0,10.0,B,,,,,,,,,,7,1,1,1,3.0,,,,,,0.18,0.3333333333333333,0.06,8,0.10328605200945626,3.0,,very low
18,1,first,3.0,85.0,A,88.0,55.0,F,40.0,D,68.0,D,C,F,7,3,1,1,4.0,0.0,1.0,1.0,2.0,0.0,0.565,1.0,0.565,10,0.3685520094562647,1.0,,low
19,0,second,3.0,15.0,D,57.0,49.0,D,64.0,C,43.0,A,C,A,18,12,4,0,1.0,1.0,2.0,4.0,2.0,4.0,0.385,1.0,0.385,30,0.47287825059101657,,1.3333333333333333,medium
20,0,first,5.0,24.0,D,36.0,51.0,D,64.0,C,33.0,C,B,D,23,7,8,0,1.0,1.0,2.0,2.0,3.0,1.0,0.355,1.0,0.355,30,0.5467671394799054,,1.3333333333333333,high
21,1,second,1.0,60.0,A,17.0,31.0,D,46.0,D,,,,,4,3,0,1,4.0,1.0,1.0,,,,0.31,0.8333333333333334,0.25833333333333336,7,0.17384751773049645,1.0,,low
22,1,third,44.0,58.0,C,68.0,41.0,B,10.0,F,11.0,B,A,F,14,22,1,0,2.0,3.0,0.0,3.0,4.0,0.0,0.38666666666666666,1.0,0.38666666666666666,36,0.44534278959810875,,1.6666666666666667,medium
23,1,third,15.0,24.0,D,35.0,62.0,B,51.0,D,,,,,1,3,0,1,1.0,3.0,1.0,,,,0.374,0.8333333333333334,0.3116666666666667,4,0.18136524822695038,1.0,,low
24,0,first,9.0,11.0,D,31.0,46.0,C,78.0,C,35.0,C,A,B,3,12,5,0,1.0,2.0,2.0,2.0,4.0,3.0,0.35,1.0,0.35,15,0.38185579196217495,,1.6666666666666667,medium
25,1,first,2.0,18.0,A,4.0,83.0,F,19.0,D,29.0,D,B,D,12,6,0,1,4.0,0.0,1.0,1.0,3.0,1.0,0.2583333333333333,1.0,0.2583333333333333,18,0.24406028368794325,1.0,,low
26,0,second,21.0,99.0,A,73.0,43.0,A,56.0,D,,,,,11,1,1,1,4.0,4.0,1.0,,,,0.584,0.8333333333333334,0.48666666666666664,12,0.34215130023640655,1.0,,low
27,1,second,18.0,6.0,D,43.0,35.0,B,94.0,C,74.0,C,A,C,23,12,7,0,1.0,3.0,2.0,2.0,4.0,2.0,0.45,1.0,0.45,35,0.6039598108747045,,2.0,high
28,1,first,92.0,54.0,D,68.0,82.0,D,,,,,,,2,1,0,1,1.0,1.0,,,,,0.74,0.6666666666666666,0.4933333333333333,3,0.2658156028368794,1.0,,low
29,1,first,15.0,39.0,A,89.0,83.0,C,48.0,F,,,,,9,4,0,1,4.0,2.0,0.0,,,,0.5479999999999999,0.8333333333333334,0.4566666666666666,13,0.3113120567375886,0.0,,low
30,1,second,58.0,46.0,A,66.0,11.0,F,,,,,,,1,0,1,1,4.0,0.0,,,,,0.4525,0.6666666666666666,0.30166666666666664,1,0.1794385342789598,0.0,,low
31,1,first,13.0,25.0,D,35.0,39.0,C,47.0,D,47.0,D,B,B,10,11,8,0,1.0,2.0,1.0,1.0,3.0,3.0,0.3433333333333334,1.0,0.3433333333333334,21,0.48348699763593384,,1.3333333333333333,medium
32,1,first,22.0,69.0,F,66.0,54.0,C,14.0,A,67.0,F,F,B,17,5,5,0,0.0,2.0,4.0,0.0,0.0,3.0,0.48666666666666664,1.0,0.48666666666666664,22,0.49486997635933805,,2.0,high
