,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,fourm Q,fourm A,office hour visits,dropout,test 1_numeric,test 2_numeric,test 3_numeric,ind cw_numeric,group cw_numeric,final grade_numeric,attendance_rate,forum_engagement,engagement_score,engagement_level
0,0,third,13,20,F,,,,,,,,,,1,0,1,1,0.0,,,,,,0.3333333333333333,1,0.19527186761229315,very low
1,0,third,71,77,A,40.0,67.0,A,69.0,A,41.0,A,A,D,13,4,4,0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,17,0.6973995271867612,medium
2,1,first,32,62,F,76.0,77.0,A,35.0,F,93.0,F,F,B,16,9,3,0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,25,0.726241134751773,high
3,1,first,8,4,F,46.0,36.0,C,93.0,B,79.0,A,D,B,22,4,6,0,0.0,2.0,3.0,4.0,1.0,3.0,1.0,26,0.799290780141844,high
4,1,first,6,1,F,23.0,33.0,D,90.0,C,82.0,C,A,C,19,9,7,0,0.0,1.0,2.0,2.0,4.0,2.0,1.0,28,0.8342789598108747,high
5,0,third,87,67,A,15.0,69.0,F,67.0,F,,,,,6,0,3,1,4.0,0.0,0.0,,,,0.8333333333333334,6,0.5216312056737589,low
6,1,second,9,25,F,22.0,40.0,C,72.0,B,32.0,C,B,A,12,3,7,0,0.0,2.0,3.0,2.0,3.0,4.0,1.0,15,0.7513002364066194,high
7,1,second,44,50,A,28.0,10.0,D,,,,,,,4,0,0,1,4.0,1.0,,,,,0.6666666666666666,4,0.3588652482269503,very low
8,1,third,60,88,C,50.0,52.0,F,,,,,,,6,4,2,1,2.0,0.0,,,,,0.6666666666666666,10,0.4416075650118203,very low
9,1,second,27,39,F,,,,,,,,,,4,0,0,1,0.0,,,,,,0.3333333333333333,4,0.1921985815602837,very low
10,1,first,39,59,A,48.0,47.0,D,,,,,,,4,0,1,1,4.0,1.0,,,,,0.6666666666666666,4,0.3810874704491725,very low
11,1,first,37,74,A,91.0,25.0,C,47.0,B,67.0,A,F,F,13,8,5,0,4.0,2.0,3.0,4.0,0.0,0.0,1.0,21,0.7451536643026005,high
12,1,third,33,51,A,93.0,35.0,A,48.0,C,57.0,B,A,D,11,6,4,0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,17,0.6973995271867612,medium
13,1,second,97,4,A,10.0,22.0,D,1.0,B,21.0,F,F,F,0,4,2,1,4.0,1.0,3.0,0.0,0.0,0.0,1.0,4,0.5699763593380615,low
14,1,second,7,56,A,39.0,51.0,A,32.0,F,18.0,D,F,C,8,6,0,1,4.0,4.0,0.0,1.0,0.0,2.0,1.0,14,0.5893617021276596,low
15,0,second,14,1,D,22.0,31.0,F,47.0,C,97.0,D,B,B,15,8,4,0,1.0,0.0,2.0,1.0,3.0,3.0,1.0,23,0.7356973995271868,high
16,1,first,36,53,A,50.0,62.0,D,23.0,F,27.0,F,D,F,11,2,1,1,4.0,1.0,0.0,0.0,1.0,0.0,1.0,13,0.6052009456264775,low
17,0,third,26,10,B,,,,,,,,,,7,1,1,1,3.0,,,,,,0.3333333333333333,8,0.23995271867612292,very low
18,1,first,3,85,A,88.0,55.0,F,40.0,D,68.0,D,C,F,7,3,1,1,4.0,0.0,1.0,1.0,2.0,0.0,1.0,10,0.5860520094562648,low
19,0,second,3,15,D,57.0,49.0,D,64.0,C,43.0,A,C,A,18,12,4,0,1.0,1.0,2.0,4.0,2.0,4.0,1.0,30,0.7803782505910165,high
20,0,first,5,24,D,36.0,51.0,D,64.0,C,33.0,C,B,D,23,7,8,0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,30,0.8692671394799054,high
21,1,second,1,60,A,17.0,31.0,D,46.0,D,,,,,4,3,0,1,4.0,1.0,1.0,,,,0.8333333333333334,7,0.4613475177304965,very low
22,1,third,44,58,C,68.0,41.0,B,10.0,F,11.0,B,A,F,14,22,1,0,2.0,3.0,0.0,3.0,4.0,0.0,1.0,36,0.7520094562647754,high
23,1,third,15,24,D,35.0,62.0,B,51.0,D,,,,,1,3,0,1,1.0,3.0,1.0,,,,0.8333333333333334,4,0.4421985815602837,very low
24,0,first,9,11,D,31.0,46.0,C,78.0,C,35.0,C,A,B,3,12,5,0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,15,0.706855791962175,medium
25,1,first,2,18,A,4.0,83.0,F,19.0,D,29.0,D,B,D,12,6,0,1,4.0,0.0,1.0,1.0,3.0,1.0,1.0,18,0.6148936170212767,low
26,0,second,21,99,A,73.0,43.0,A,56.0,D,,,,,11,1,1,1,4.0,4.0,1.0,,,,0.8333333333333334,12,0.51548463356974,low
27,1,second,18,6,D,43.0,35.0,B,94.0,C,74.0,C,A,C,23,12,7,0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,35,0.8789598108747044,high
28,1,first,92,54,D,68.0,82.0,D,,,,,,,2,1,0,1,1.0,1.0,,,,,0.6666666666666666,3,0.35248226950354605,very low
29,1,first,15,39,A,89.0,83.0,C,48.0,F,,,,,9,4,0,1,4.0,2.0,0.0,,,,0.8333333333333334,13,0.499645390070922,low
30,1,second,58,46,A,66.0,11.0,F,,,,,,,1,0,1,1,4.0,0.0,,,,,0.6666666666666666,1,0.3619385342789598,very low
31,1,first,13,25,D,35.0,39.0,C,47.0,D,47.0,D,B,B,10,11,8,0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,21,0.8118203309692672,high
